comparator,endpoint,n,mean_difference,median_difference,sample_sd,ci95_low,ci95_high,positive_count,negative_count,zero_count,sign_test_p,practical_threshold,mean_exceeds_threshold
circular_mean,mpn_probability_ad_mean,10,-0.0003161953155856,-0.0087895384379718,0.0219047150478953,-0.0121154186491039,0.0134055012003374,4,6,0,0.75390625,0.015,False
circular_mean,mpn_probability_all_valid_mean,10,0.0078810940649671,0.0085052155658667,0.0094479419687976,0.00223500758281,0.0133347511478048,7,3,0,0.34375,0.015,False
circular_mean,qed_mean,10,-0.0040820886567857,-0.0031117564878194,0.0063950925238525,-0.0080897569108951,-0.0005818314832816,3,7,0,0.34375,0.015,False
circular_mean,svm_activity_mean,10,0.0023616122125021,0.0011963666036333,0.0109184139819814,-0.00327295763879,0.0094569534379013,7,3,0,0.34375,0.015,False
cross_seed,mpn_probability_ad_mean,10,-0.004297175145882,-0.0028166677403196,0.0310983265819495,-0.0217923710445977,0.0147416168563456,4,6,0,0.75390625,0.015,False
cross_seed,mpn_probability_all_valid_mean,10,0.0066863927790232,0.001068583887752,0.0144095572308898,-0.0009058458020253,0.015957371210923,5,5,0,1.0,0.015,False
cross_seed,qed_mean,10,0.0044421890286096,0.002046581203503,0.00933377886327,-0.0002564981361975,0.0105354632204135,7,3,0,0.34375,0.015,False
cross_seed,svm_activity_mean,10,-0.0041945470027701,-0.0027471192064114,0.0182496568534061,-0.0148082610905863,0.006595139557451,4,6,0,0.75390625,0.015,False
frozen_equal,mpn_probability_ad_mean,10,0.0090653196594024,0.0033821111556751,0.0330720504024524,-0.0091885472958134,0.0294223940232345,5,5,0,1.0,0.015,False
frozen_equal,mpn_probability_all_valid_mean,10,0.0057587299126589,0.0052229039665161,0.011440669665003,-0.0010779155979908,0.0123503076658096,8,2,0,0.109375,0.015,False
frozen_equal,qed_mean,10,-0.0025027684554387,-0.0017423705736642,0.0071990068973991,-0.0067901762066633,0.0016537879562416,3,7,0,0.34375,0.015,False
frozen_equal,svm_activity_mean,10,-0.000605526468129,-0.0027064414288155,0.0114119713445356,-0.0072346693216933,0.0062157148722869,4,6,0,0.75390625,0.015,False
frozen_tuned,mpn_probability_ad_mean,10,-0.004341030935263,-0.0159365198336507,0.0375057970201417,-0.0239681889324871,0.0201276720804714,2,8,0,0.109375,0.015,False
frozen_tuned,mpn_probability_all_valid_mean,10,0.00829263295989,0.0080396306824427,0.0137448097349496,0.0002926944356254,0.0163868666639207,6,4,0,0.75390625,0.015,False
frozen_tuned,qed_mean,10,-0.0189594127784268,-0.0177642158516946,0.0072137996567475,-0.0232945484911254,-0.0148480515841426,0,10,0,0.001953125,0.015,False
frozen_tuned,svm_activity_mean,10,0.0130955157873369,0.0133016637242922,0.0150539729208817,0.0046918647392147,0.0223476792851124,7,3,0,0.34375,0.015,False
