seed,replicate_0_shift,replicate_1_shift,replicate_2_shift,eligible_shift_min,eligible_shift_max,target_history_sha256
6101,4,11,5,4,11,6130d9b33d693f0482153dd36895aa1b2e4fd3dc631e904496e42e3a33d35023
6102,9,7,10,4,11,74edb3b34fdb4481e6bba22f39598ae89a6eefac207e89426ecf14eeabd7f393
6103,6,7,5,4,11,f98fac7793c100dfeb269ec53aed00bacc5a5b6b798530b35f2c74e32ee5b092
6104,4,5,7,4,11,c2d23130bc7f31cc8aacf6dba791df0de2fed63225613801156587a4ae251153
6105,5,7,10,4,11,f327386574f8cc7060961eefd361d961085b92ed00a356048b6424eecfa08586
6106,7,6,4,4,11,0a7638d3345b795b4c4c6faa47d4f796f59f9bf70ff15f5048ad862e060c6a11
6107,6,4,5,4,11,06b328ab95f629840cf90a19fd7c28fd9930cd10e07e5c60fb135d5cbb803fc3
6108,6,10,9,4,11,e87289a3371abd21c920ea9bea5a7662b48bacf5fab1b023e240cf72d6e5e7b8
6109,5,8,11,4,11,97bc165a7be77835cbd3ef711a74592c03830f7fb6ffef3519ee4e89fa674ebf
6110,10,6,5,4,11,4dc0e15b941d4a10109314261104dd372d5358a53a316a6c88d3a17eff3ed28b
