audit_set,method,n_seeds,lag1_acf_gap,delta_ks,decline_count_gap,action_checkpoint_gap,component_action_gap,final_weight_l1_gap,source_action_checkpoints,placebo_action_checkpoints,source_component_actions,placebo_component_actions,source_final_weight_l1_drift,placebo_final_weight_l1_drift,source_declines_activity,placebo_declines_activity,source_declines_qed,placebo_declines_qed,source_declines_mw,placebo_declines_mw
development_frozen,block_permutation,10,0.13050600763007433,0.06904761904761908,0.6,0.3,1.0,0.08288214291999148,8.3,8.4,10.3,11.1,0.1461845391715475,0.13816107076605683,4.2,4.0,2.5,3.2,3.6,3.9
development_frozen,circular_shift_frozen_mean,10,0.1395088662848571,0.07063492063492068,0.5444444444444444,0.36666666666666664,1.1,0.07559061011905807,8.3,8.666666666666668,10.3,11.4,0.1461845391715475,0.14082460715454811,4.2,4.2,2.5,3.2666666666666666,3.6,3.9333333333333336
development_frozen,circular_shift_replicate_0,10,0.15413472184128318,0.07142857142857147,0.5,0.2,0.9,0.0773178297837537,8.3,8.5,10.3,11.2,0.1461845391715475,0.13279937145610998,4.2,4.2,2.5,3.3,3.6,3.7
development_frozen,circular_shift_replicate_1,10,0.13523051599669295,0.0690476190476191,0.6,0.6,1.4,0.0796774933459159,8.3,8.9,10.3,11.7,0.1461845391715475,0.15627718735930382,4.2,4.3,2.5,3.3,3.6,4.1
development_frozen,circular_shift_replicate_2,10,0.12916136101659506,0.07142857142857148,0.5333333333333333,0.3,1.0,0.06977650722750459,8.3,8.6,10.3,11.3,0.1461845391715475,0.13339726264823054,4.2,4.1,2.5,3.2,3.6,4.0
development_frozen,cross_seed_phase_matched,10,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,10.3,10.3,0.1461845391715475,0.1461845391715475,4.2,4.2,2.5,2.5,3.6,3.6
development_frozen,legacy_shuffle_history,10,0.38576646837080186,0.23095238095238096,1.5666666666666667,1.4,2.3,0.17687460422626589,8.3,8.3,10.3,12.2,0.1461845391715475,0.12878947229677146,4.2,3.6,2.5,4.6,3.6,4.0
confirmatory_frozen,block_permutation,10,0.11026269002943141,0.07380952380952385,0.4333333333333333,0.6,1.1,0.09985559026217614,8.8,9.2,11.3,12.2,0.2046225847631455,0.2081321781310455,4.6,4.7,2.8,3.1,3.9,4.4
confirmatory_frozen,circular_shift_frozen_mean,10,0.13874424690114226,0.0690476190476191,0.5777777777777777,0.4,1.2666666666666666,0.11142057400903405,8.8,9.2,11.3,12.566666666666666,0.2046225847631455,0.18734606107454788,4.6,4.533333333333333,2.8,3.5333333333333337,3.9,4.5
confirmatory_frozen,circular_shift_replicate_0,10,0.13133051423329117,0.06666666666666671,0.5,0.2,0.7,0.11142050647679666,8.8,9.0,11.3,12.0,0.2046225847631455,0.1781562999285819,4.6,4.2,2.8,3.5,3.9,4.3
confirmatory_frozen,circular_shift_replicate_1,10,0.14958033457314907,0.0690476190476191,0.5333333333333333,0.4,1.4,0.10583332136282424,8.8,9.2,11.3,12.7,0.2046225847631455,0.20647661841914694,4.6,4.8,2.8,3.3,3.9,4.6
confirmatory_frozen,circular_shift_replicate_2,10,0.13532189189698654,0.07142857142857147,0.7,0.6,1.7,0.11700789418748123,8.8,9.4,11.3,13.0,0.2046225847631455,0.17740526487591482,4.6,4.6,2.8,3.8,3.9,4.6
confirmatory_frozen,cross_seed_phase_matched,10,0.0,0.0,0.0,0.0,0.0,0.0,8.8,8.8,11.3,11.3,0.2046225847631455,0.2046225847631455,4.6,4.6,2.8,2.8,3.9,3.9
