id,label,smiles,reward_rf,validation_svm,vina_score,docking_reward
active_0,active,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,0.965,0.5724196741664672,-10.943,10.943
active_1,active,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0.42,0.6142063944411048,-11.072,11.072
active_2,active,CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.94,0.5915185555112027,-9.293,9.293
active_3,active,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.99,0.9600818524596373,-9.713,9.713
active_4,active,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,0.96,0.8682095783187994,-10.499,10.499
active_5,active,O=C(CCCN1CCC(O)(c2cccc(Cl)c2Cl)CC1)c1ccc(F)cc1,0.97,0.9240140275569493,-9.668,9.668
active_6,active,O=C(CCCN1CCC(O)(c2cc(Cl)cc(Cl)c2)CC1)c1ccc(F)cc1,0.98,0.9211574485926305,-9.85,9.85
active_7,active,O=C(CCCN1CCC(O)(c2ccc(C(F)(F)F)cc2)CC1)c1ccc(F)cc1,0.9675,0.8501631539754106,-10.839,10.839
active_8,active,O=C(CCCN1CCC(O)(c2ccc(Cl)c(Cl)c2)CC1)c1ccc(F)cc1,0.995,0.9309956615266501,-10.404,10.404
active_9,active,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.88,0.6495162370097417,-11.086,11.086
active_10,active,O=C(CCCN1CCC2(CC1)C(=O)N(CCc1ccc(Nc3ccc([N+](=O)[O-])c4nonc34)cc1)CN2c1ccccc1)c1ccc(F)cc1,0.8425,0.758716941585966,-11.62,11.62
active_11,active,O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CCC(c2noc3cc(F)ccc23)CC1,0.5175,0.9826234538398806,-11.874,11.874
active_12,active,O=C(CCCN1CCC2(c3ccc(Cl)cc3)CC2C1)c1ccc(F)cc1,0.81,0.9826471458235432,-10.63,10.63
active_14,active,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.9525,0.8283345072218202,-10.266,10.266
active_15,active,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,0.9425,0.9177063081367492,-8.975,8.975
active_16,active,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccc4[nH]ccc4c3O1)CC2,0.82,0.1430363808523617,-11.383,11.383
active_17,active,O=C(CCCN1[C@@H]2CC[C@H]1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1,0.82,0.9826427672618591,-10.827,10.827
active_18,active,O=C(CCCN1C2CCC1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1,0.82,0.9826427672618591,-9.809,9.809
active_19,active,Cc1c(S(=O)(=O)N[C@@H]2CCN(CCCc3noc4ccccc34)C2)sc2ccc(F)cc12,0.5825,0.9534444114374954,-11.507,11.507
active_20,active,OC1(c2ccc(Cl)cc2)CCN(CCCOc2ccc(F)cc2)CC1,0.675,0.8741553855384084,-9.805,9.805
active_21,active,O=c1[nH]c2ccccc2n1C1CCN(CCCOc2ccc(F)cc2)CC1,0.65,0.4723883276651979,-10.367,10.367
active_22,active,O=C(O)C(=O)O.O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4OCCF)CC3)cc2N1,0.9525,0.9826577573655374,-9.574,9.574
active_23,active,O=C(O)C(=O)O.O=c1ccc2ccc(OCCCCN3CCN(c4ccccc4OCCF)CC3)cc2[nH]1,0.9725,0.9400239720577569,-9.104,9.104
active_24,active,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccccc2s1,0.655,0.9470908673568219,-11.365,11.365
active_25,active,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc2ccccc2c1,0.755,0.9569688927064329,-11.914,11.914
active_26,active,Cn1ccc2cc(S(=O)(=O)N[C@@H]3CCN(CCCc4noc5ccccc45)C3)ccc21,0.68,0.9826265308364001,-11.194,11.194
active_27,active,COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1.O=C(O)C(=O)O,0.9275,0.9826125030514495,-9.651,9.651
active_28,active,O=C(NCCCCN1CCN(c2ccccc2OCCF)CC1)c1ccc(-c2ccsc2)cc1,0.84,0.9118073541528678,-8.958,8.958
active_29,active,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,0.795,0.4205445620750969,-11.502,11.502
active_30,active,COc1ccccc1N1CCN(CCCNC(=O)OC(C)(C)C)CC1,0.645,0.9823614042300115,-8.472,8.472
active_31,active,Cc1cccc(C2CCN(CCNC(=O)C3CCC(F)(F)CC3)CC2)n1,0.92,0.3018563285900062,-10.445,10.445
active_32,active,COc1ccccc1N1CCN(CCCCOc2ccc3ccc(=O)[nH]c3c2)CC1.O=C(O)C(=O)O,0.9625,0.9425363408561627,-9.573,9.573
active_33,active,COc1ccccc1N1CCN(CCCCNC(=O)OC(C)(C)C)CC1,0.6425,0.9840245464756304,-8.073,8.073
active_34,active,C[C@H]1Oc2c(cccc2N2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)NC1=O,0.7175,0.8269281535098094,-11.185,11.185
active_35,active,O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21,0.8275,0.9363821328858053,-10.587,10.587
active_36,active,O=C1CCc2cc(CCN3CCN(c4cccc5sc(F)cc45)CC3)ccc2N1,0.9825,0.9601034305279875,-10.039,10.039
active_37,active,CC(C)(C)NC(=O)C1C(=O)NCCN1C(=O)CCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.9125,0.8775946203945291,-9.616,9.616
active_38,active,Cc1cc2c(cc1OCCCCN1CCN(c3cccc4cc(F)ccc34)CC1)C(=O)NC2,0.7225,0.9008949759852422,-9.744,9.744
active_39,active,COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CO3)CC1,0.9225,0.9826501649147575,-9.729,9.729
active_40,active,O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc21,0.81,0.8567891635293884,-10.641,10.641
active_41,active,FC(F)(F)c1cccc(N2CCN(CCCCNc3cc(-c4ccccc4)ccn3)CC2)c1,0.31,0.42104335655328096,-10.917,10.917
active_42,active,O=c1ccc2ccc(CCN3CCN(c4cccc5sc(F)cc45)CC3)cc2[nH]1,0.935,0.9826439473078749,-10.519,10.519
active_43,active,COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,0.93,0.988548828946466,-9.495,9.495
active_44,active,COc1cccc2[nH]cc(CN3CCC(O)(c4ccc(I)cc4)CC3)c12.O=C(O)C(=O)O,0.94,0.34645046703695004,-8.639,8.639
active_45,active,CN1CCN(C(=O)CCCN2CCN(c3cccc(Cl)c3Cl)CC2)C(C(=O)NCc2ccccc2)C1,0.8325,0.7360753851245578,-10.618,10.618
active_46,active,O=C1CCc2ccc(CCN3CCN(c4cccc5sc(F)cc45)CC3)cc2N1,0.9825,0.9665406231947039,-10.774,10.774
active_47,active,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1,0.3675,0.9826101562526756,-9.216,9.216
active_48,active,O=C1COc2c(F)cc(CCCCN3CCN(c4cccc5sccc45)CC3)cc2N1,0.91,0.8971927382756711,-9.701,9.701
active_49,active,O=c1[nH]c2ccc(CCN3CCN(c4cccc5sc(F)cc45)CC3)cc2[nH]1,0.9525,0.9572796123401367,-10.032,10.032
active_50,active,COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(C#N)c3c2)CC1,0.775,0.9826556196391213,-9.229,9.229
active_51,active,O=C1COc2c(N3CCN(CCCCOc4ccn5nccc5c4)CC3)ccc(O)c2N1,0.845,0.9826355302435447,-9.528,9.528
active_52,active,O=C1CCc2cc(CCCCN3CCN(c4cccc5sc(F)cc45)CC3)ccc2N1,0.9825,0.9634927932781189,-10.352,10.352
active_53,active,COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(/C=N\O)c3c2)CC1,0.7625,0.9826380550592061,-9.769,9.769
active_54,active,S=c1[nH]c2ccc(OCCN3CCN(c4ccccc4)CC3)cc2[nH]1,0.815,0.2093364479169709,-9.741,9.741
active_55,active,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)nc2N1,0.8475,0.9122314707627756,-9.771,9.771
active_56,active,CC(C)Oc1ccccc1N1CCCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,0.92,0.9826186740943822,-9.486,9.486
active_57,active,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0.765,0.3076040519393152,-11.188,11.188
active_58,active,O=C1COc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0.9,0.9826305059721001,-9.417,9.417
active_59,active,O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc2ccccc2c1,0.85,0.9826423674510744,-11.92,11.92
active_60,active,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0.8975,0.7349935402612854,-9.628,9.628
